text,pos
Moving the Tesla announcement to Wednesday. Needs a few more days of refinement.,1
@markpinc @TeslaMotors thanks!,1
@Reuters Umm...Autobahn?,0
@vicentes obviously wrong,0
@Cocoanetics @heiseonline Not actually based on science. Objective data shows Autopilot is safer than manually driven cars.,0
"@saufkopf87 @FortuneMagazine Utter nonsense. Empirical evidence is what matters, not random speculation.",0
@jovanik21 @arstechnica @drgitlin Sounds like a great move!,1
Good for Germany! https://t.co/SMdOL9GcTl,1
@hohocho That's why we need to accelerate solar power,1
"Real fraud going on is denial of climate science. As for ""subsidies"", Tesla gets pennies on dollar vs coal. How about we both go to zero?",0
Coal-mining CEO: 'Tesla is a fraud' https://t.co/IpQJAlAo3f via @YahooFinance,0
@roger_kappler Probably not then either,0
"Tesla product unveiling on the 17th (unexpected by most), followed by Tesla/SolarCity on the 28th",1
"US automotive deaths rose 10% to 17,775 in first half of 2016, approx 1 every 88 million miles https://t.co/8vrAHA80yB",0
Cumulative Tesla Autopilot miles now at 222 million,1
@DanMerriweather lot of circumstantial evidence for that hypothesis,0
"Sabotage of the rocket is unlikely, but this article has some great theories :)
https://t.co/1fCRbZvRHo",1
"@Cardoso True, it is a no-win situation",0
@motherboard I use twitter for news orgs. My Insta has same women as men. What's up with the phoney PC police axe-grinding?,0
@kakurady @xenophrenia Exactly. Those are the best ones.,1
@MacTechGenius Going out this week for X and outside North America,1
"Wow, this tweet is like a Rorschach test",0
"No irony or uhh ""shade"" meant here. T's character is excellent and well-played. Worth seeing.",1
Some of the future episodes of Westworld feature my ex. Talulah does a great job of playing a deadly sexbot :),1
More Kerbal! https://t.co/IDeV1wAfVR,1
@bearsper Will do a Reddit AMA on Mars in the next week or two,1
"@SteveBatzer @GoodDayM Corrective action taken. Seems to be limited to a small number of cases, but thanks for lett… https://t.co/vrtlttgFwb",0
@GoodDayM Am tracking this down ... Super important to be fair. There are zero discounts even for family and friends.,0
@GoodDayM Something messed up here. Tesla policy is equal pricing for all. No discounts ever unless a car is a floor model or was damaged.,0
A Million Humans Could Live on Mars By the 2060s https://t.co/d0nlk1xfOl via @NatGeo,1
Good article on the interplanetary transport system on Gizmodo https://t.co/nysjRDQWFz,1
Waiting for everyone to reach their seats and get settled. Starting in 5 to 10.,1
Full Interplanetary Tranport System presentation in ~30 mins. Simulation preview: https://t.co/lKAxabzfKX,1
SpaceX propulsion just achieved first firing of the Raptor interplanetary transport engine https://t.co/vRleyJvBkx,1
